Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,14.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
13283574,58.8,225988,2,19,33,ЮАО,Чертаново Южное,18.5,7.0
10343904,26.5,390336,0,25,32,ЗАО,Филёвский Парк,7.4,9.0
11491200,35.0,328320,1,9,24,СЗАО,Покровское-Стрешнево,13.9,13.0
9749980,34.3,284256,1,32,33,ЮАО,Нагатино-Садовники,8.8,20.0
15009300,45.9,327000,2,6,29,ЮЗАО,Черёмушки,11.2,38.0
10227513,36.2,282528,1,2,33,ЮАО,Нагатино-Садовники,8.8,20.0
11850601,36.5,324674,1,24,38,ЮВАО,Южнопортовый район,5.0,9.0
8709071,34.1,255398,2,19,33,СВАО,Отрадное,10.9,19.0
9846041,42.6,231182,1,32,33,ЮАО,Чертаново Южное,18.5,7.0
9783011,42.6,229810,1,23,33,ЮАО,Чертаново Южное,18.5,7.0
9577197,38.1,251370,1,2,33,ЮАО,Чертаново Южное,18.5,7.0
8316456,32.4,256760,1,21,33,ЮАО,Чертаново Южное,18.5,7.0
9138416,35.9,254552,2,19,33,СВАО,Отрадное,10.9,19.0
10890748,34.3,317422,1,20,33,ЮВАО,Южнопортовый район,5.0,9.0
11223624,34.3,327124,1,31,33,ЮВАО,Южнопортовый район,5.0,9.0
6995461,27.3,256244,0,3,33,СВАО,Отрадное,10.9,19.0
8394406,32.1,261508,2,3,17,СВАО,Отрадное,10.9,19.0
12080318,51.6,234024,2,25,33,ЮАО,Чертаново Южное,18.5,7.0
9919700,38.3,259000,1,8,14,САО,Молжаниновский район,24.8,39.0
13416192,36.0,372672,1,14,32,ЗАО,Филёвский Парк,7.4,9.0
